"","purpose","month","Akershus","Aust-Agder","Buskerud","Finnmark - Finnmárku","Hedmark","Hordaland","Møre og Romsdal","Nordland","Oppland","Oslo","Rogaland","Sogn og Fjordane","Svalbard","Telemark","Troms - Romsa","Vest-Agder","Vestfold","Østfold","Trondelag","Norge"
"94","Ferie, fritid",1993-10-01,6390,9999,34100,2750,15918,27523,7548,6289,59937,39534,8227,9101,0,18064,7192,4670,5156,3011,18196,283605
"95","Ferie, fritid",1993-11-01,5091,3438,29492,2433,14484,20274,7965,7208,54943,32445,9319,5937,0,9602,6455,5571,3630,2484,19471,240242
"96","Ferie, fritid",1993-12-01,4266,11387,67645,3436,18374,21404,6471,8078,81066,26609,10162,6961,0,24593,7839,4026,3679,3362,21520,330878
"97","Ferie, fritid",1994-01-01,6787,20811,94461,2428,36822,15372,3061,5057,139142,28211,7012,2930,0,41008,7006,5065,1847,2470,28933,448423
"98","Ferie, fritid",1994-02-01,12332,29918,158141,2559,40532,24175,3047,5577,177120,31289,6662,6373,0,62758,6372,7801,3404,3159,37134,618353
"99","Ferie, fritid",1994-03-01,5822,24841,150939,3648,50256,28654,7547,7223,220663,33376,7981,7246,0,60199,6242,10383,4431,2323,50862,682636
"100","Ferie, fritid",1994-04-01,3879,15276,101176,4628,23364,29649,6618,6806,109854,28850,11110,8988,0,24937,7395,7216,4525,2551,28698,425520
"101","Ferie, fritid",1994-05-01,13214,6862,37418,6710,13524,71081,18164,11552,40190,57123,11476,32973,0,19744,6584,10954,7532,5152,21922,392175
"102","Ferie, fritid",1994-06-01,28906,21916,93848,58679,36117,152804,54023,64479,168384,100747,24488,92804,0,53330,35457,25432,17978,9063,65795,1104250
"103","Ferie, fritid",1994-07-01,48413,61780,173131,85698,70665,205174,86233,103138,333113,167110,43461,121556,0,116952,65730,86533,37158,14784,124730,1945359
"104","Ferie, fritid",1994-08-01,36220,30048,131307,40531,44006,166572,48623,41047,222801,127223,30584,92289,0,60923,28220,33036,14902,9419,66412,1224163
"105","Ferie, fritid",1994-09-01,11373,12265,63560,7838,23067,62440,14554,9397,124220,58720,10071,26490,0,36483,9941,7269,4527,4412,24769,511396
"106","Ferie, fritid",1994-10-01,7400,7414,30950,3257,10143,24085,7529,7636,46169,41379,9222,9866,0,17773,6446,5455,4277,2348,19173,260522
"107","Ferie, fritid",1994-11-01,5856,2466,33019,3018,13742,18202,7981,7526,46745,34844,10181,6441,0,11341,6288,4981,3761,1323,16966,234681
"108","Ferie, fritid",1994-12-01,6075,9485,68577,3454,21550,24147,8478,9662,84961,28404,7076,5768,0,28137,7168,4364,3877,2648,22855,346686
"109","Ferie, fritid",1995-01-01,5986,21009,98494,2293,32241,14906,3399,6740,157634,26241,7303,2924,0,39156,5266,6424,2086,1410,23945,457457
"110","Ferie, fritid",1995-02-01,7375,26140,149686,3094,43687,24603,4599,6045,218106,30489,10318,5000,0,58115,6476,10911,3701,2481,40001,650827
"111","Ferie, fritid",1995-03-01,6008,23860,141935,5002,48931,31984,5514,11976,227624,31349,13441,7925,0,48924,7760,8653,3211,2337,36182,662616
"112","Ferie, fritid",1995-04-01,7165,18855,128983,5713,29989,37292,8306,9458,150049,26757,13404,11314,0,34131,6041,8840,5246,1873,38450,541866
"113","Ferie, fritid",1995-05-01,14244,6674,32539,7633,12828,70574,15417,13550,37573,58036,12769,29003,0,14652,8387,8644,5878,3934,21525,373860
"114","Ferie, fritid",1995-06-01,29388,18672,87613,52298,33977,151267,53698,71338,149443,80754,25898,79751,0,51128,34208,26327,18103,9775,66532,1040170
"115","Ferie, fritid",1995-07-01,53431,53679,177927,72477,67438,215564,88259,118675,332925,161706,45404,130489,0,114748,57240,74119,38664,16621,133795,1953161
"116","Ferie, fritid",1995-08-01,38095,24910,120269,32494,42663,166465,49759,46224,212014,119594,29965,91739,0,56344,24257,25298,15148,10636,64686,1170560
"117","Ferie, fritid",1995-09-01,11656,11951,63494,7848,23710,61262,16930,12958,126505,53277,12490,29989,0,30488,9909,9402,5232,3978,29524,520603
"118","Ferie, fritid",1995-10-01,8418,7063,31424,2451,12297,25435,7119,10242,49209,42467,9220,7915,0,16429,6729,6275,3768,2630,20423,269514
"119","Ferie, fritid",1995-11-01,6314,4658,23822,3084,12665,23588,7506,11342,42849,34907,10064,6017,0,11703,9794,5936,3412,2600,20119,240380
"120","Ferie, fritid",1995-12-01,6737,13344,74306,3438,24351,25498,8856,10292,101667,27437,9431,6081,0,29855,8401,7451,3885,2595,24498,388123
"121","Ferie, fritid",1996-01-01,6324,14353,82182,2269,28883,14072,4905,7395,144504,23686,5869,4819,0,34847,5815,7392,2010,1766,22360,413451
"122","Ferie, fritid",1996-02-01,7930,26846,161255,2917,47035,20853,5250,7642,231524,29185,9567,5440,0,62780,7336,11507,2335,2618,40361,682381
"123","Ferie, fritid",1996-03-01,7054,25739,140673,4660,43109,29607,7735,12860,228536,34971,13283,6311,0,45530,9202,10802,4029,2937,41134,668172
"124","Ferie, fritid",1996-04-01,7333,16089,102969,5775,23415,31608,7036,10280,143317,28397,10808,9847,0,31569,6630,10202,4797,1783,33946,485801
"125","Ferie, fritid",1996-05-01,19010,4898,27967,6666,11074,73196,16733,16251,35794,64458,13619,30155,0,16253,10823,8667,5048,4703,22879,388194
"126","Ferie, fritid",1996-06-01,38655,21365,82681,42232,35738,159692,54699,69928,173646,100742,30304,85631,0,47493,38006,28736,14832,9716,71027,1105123
"127","Ferie, fritid",1996-07-01,54953,60199,168212,60034,75329,228177,85428,110999,349148,178332,47357,128675,0,103238,56947,102197,42743,18318,131556,2001842
"128","Ferie, fritid",1996-08-01,37452,30419,114539,27122,46938,171782,53160,49716,222294,136703,30172,91104,0,55566,29334,39665,19872,8724,77860,1242422
"129","Ferie, fritid",1996-09-01,13840,12479,55145,6967,22160,61709,15618,12557,118397,62156,10848,30800,0,29474,12149,11636,4136,3407,28467,511945
"130","Ferie, fritid",1996-10-01,10263,9467,29467,2682,9613,27930,7373,8594,52937,46628,6752,8322,0,18293,8711,8945,3411,2433,20221,282042
"131","Ferie, fritid",1996-11-01,7705,6709,33215,3164,13388,26276,9552,11427,54207,40899,12926,7495,0,12378,9988,6180,3888,2192,22218,283807
"132","Ferie, fritid",1996-12-01,6844,11079,65248,3176,21281,23593,7712,9189,98591,30299,6774,5317,0,26643,8854,5589,3185,1760,20479,355613
"133","Ferie, fritid",1997-01-01,7590,18516,88532,3221,24362,15410,3617,6032,146183,26376,4489,2813,0,31198,6380,6237,2201,1637,23426,418220
"134","Ferie, fritid",1997-02-01,9439,27642,161641,3650,36496,23399,4531,7513,224858,31599,6443,5483,0,51963,7457,12958,2609,2248,39968,659897
"135","Ferie, fritid",1997-03-01,7481,31559,189670,7068,49571,33180,9509,12384,281600,32529,8680,9572,0,58428,7336,16397,4102,2448,50543,812057
"136","Ferie, fritid",1997-04-01,8159,14977,74757,4864,16060,27793,5038,11358,75024,36149,8182,5367,0,18873,10253,7840,3627,1871,22957,353149
"137","Ferie, fritid",1997-05-01,16871,8543,31130,5911,9708,74235,16049,14230,32983,70890,11964,27941,0,15274,9829,13096,6067,5009,23059,392789
"138","Ferie, fritid",1997-06-01,34174,18388,79288,40228,34126,156735,57332,63137,155045,91769,26161,83827,0,51083,35279,31865,14497,9005,67696,1049635
"139","Ferie, fritid",1997-07-01,48789,56012,154370,63620,60725,213763,89239,110881,297404,170200,43298,128291,0,113150,51208,107809,40290,14709,138843,1902601
"140","Ferie, fritid",1997-08-01,37466,29072,128949,31567,40460,182146,62989,57286,224771,146211,27781,101838,0,71364,28304,41018,16980,8644,79449,1316295
"141","Ferie, fritid",1997-09-01,16195,12412,54587,7000,22537,67734,13625,12522,110252,61636,11493,34139,0,35489,10058,9690,5434,3547,30682,519032
"142","Ferie, fritid",1997-10-01,12406,8333,28691,3351,13815,29706,8957,9079,54444,49319,9047,9735,0,20303,10203,8561,4176,2615,21100,303841
"143","Ferie, fritid",1997-11-01,9666,5056,31476,3357,15319,26740,9881,11170,55916,47734,11182,8662,0,15711,12095,6953,4073,2605,22073,299669
"144","Ferie, fritid",1997-12-01,6971,11732,74328,2993,21428,26160,9361,10248,89710,34248,7905,7479,0,27175,9759,6647,4080,1767,22122,374113
"145","Ferie, fritid",1998-01-01,7701,12007,98284,2838,28002,16624,4407,6165,128101,32061,6660,2579,0,32448,10197,5600,2408,1808,31032,428922
"146","Ferie, fritid",1998-02-01,9427,18157,138132,2339,40514,25173,4945,8976,197194,31643,5425,6101,0,50597,10302,8209,6148,2346,36370,601998
"147","Ferie, fritid",1998-03-01,9684,16013,130249,5645,40704,24836,6119,12814,190025,40341,9271,5067,0,43901,8997,10237,2760,2429,39525,598617
"148","Ferie, fritid",1998-04-01,8409,16400,115558,5124,29166,35827,8151,12409,127605,33144,9488,10802,0,34991,8487,9599,3408,1999,37158,507725
"149","Ferie, fritid",1998-05-01,17632,8052,32049,6833,10761,77407,15851,15597,36239,69190,11612,31400,0,27724,11481,11068,7987,4762,25205,420850
"150","Ferie, fritid",1998-06-01,37575,20379,85942,41690,34174,155659,55504,69786,150408,103685,24055,82255,0,44680,33944,22377,12387,9968,67059,1051527
"151","Ferie, fritid",1998-07-01,51521,64681,162712,63489,70497,231837,91344,124375,323718,194581,45437,129839,0,115774,64505,99042,39273,11906,124751,2009282
"152","Ferie, fritid",1998-08-01,40278,30376,138436,31473,46549,200546,63546,64938,226897,162780,28718,109214,0,71661,32567,30856,17230,10321,80053,1386439
"153","Ferie, fritid",1998-09-01,17920,12866,63406,5826,22958,72355,15124,15290,116547,70014,10615,33179,0,36496,12328,9877,4147,2718,28905,550571
"154","Ferie, fritid",1998-10-01,13922,9612,37205,2382,11587,35445,10573,11475,52817,59361,12524,10128,0,23154,11823,8539,4387,2386,27253,344573
"155","Ferie, fritid",1998-11-01,9945,5862,31602,2491,14829,28615,10229,11490,39779,42538,12560,9055,0,14478,10836,7143,3688,2536,19888,277564
"156","Ferie, fritid",1998-12-01,9799,12217,76570,2773,24159,28917,9876,10580,86275,31270,10454,7368,0,29464,8812,7236,3961,2889,23672,386292
"157","Ferie, fritid",1999-01-01,10030,16397,89927,1797,30059,18093,4044,8107,129332,28098,7464,2366,0,34652,7280,7303,2104,1428,26587,425068
"158","Ferie, fritid",1999-02-01,11332,22321,152136,2600,47459,25990,4488,7658,199089,33983,9981,4155,0,52764,10115,10726,3190,2103,39438,639528
"159","Ferie, fritid",1999-03-01,10397,25356,153932,3480,50827,34221,5054,11537,222717,40354,9561,7755,0,51888,8604,15343,2535,1938,45293,700792
